component_id,component_path,lifecycle_status,active_runtime,consumed_by_dag,status
agent_control_plane_001_agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_002_agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_003_agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_004_agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_005_agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_001_agent,agents/agent_evolution_001/agent_evolution_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_002_agent,agents/agent_evolution_002/agent_evolution_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_003_agent,agents/agent_evolution_003/agent_evolution_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_004_agent,agents/agent_evolution_004/agent_evolution_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_005_agent,agents/agent_evolution_005/agent_evolution_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_001_agent,agents/agent_governance_001/agent_governance_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_002_agent,agents/agent_governance_002/agent_governance_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_003_agent,agents/agent_governance_003/agent_governance_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_004_agent,agents/agent_governance_004/agent_governance_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_005_agent,agents/agent_governance_005/agent_governance_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_006_agent,agents/agent_governance_006/agent_governance_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_007_agent,agents/agent_governance_007/agent_governance_007_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_008_agent,agents/agent_governance_008/agent_governance_008_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_009_agent,agents/agent_governance_009/agent_governance_009_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_010_agent,agents/agent_governance_010/agent_governance_010_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_001_agent,agents/agent_kernel_001/agent_kernel_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_002_agent,agents/agent_kernel_002/agent_kernel_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_003_agent,agents/agent_kernel_003/agent_kernel_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_004_agent,agents/agent_kernel_004/agent_kernel_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_005_agent,agents/agent_kernel_005/agent_kernel_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_006_agent,agents/agent_kernel_006/agent_kernel_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
