registry_file,old_reference,new_reference,old_exists,new_exists,action,reason,evidence_source,status
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_110/cwf_110_sub_agent.py,subagents/cwf_110/cwf_110_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_120/cwf_120_sub_agent.py,subagents/cwf_120/cwf_120_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_130/cwf_130_sub_agent.py,subagents/cwf_130/cwf_130_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_140/cwf_140_sub_agent.py,subagents/cwf_140/cwf_140_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_210/cwf_210_sub_agent.py,subagents/cwf_210/cwf_210_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_220/cwf_220_sub_agent.py,subagents/cwf_220/cwf_220_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_230/cwf_230_sub_agent.py,subagents/cwf_230/cwf_230_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_240/cwf_240_sub_agent.py,subagents/cwf_240/cwf_240_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_310/cwf_310_sub_agent.py,subagents/cwf_310/cwf_310_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_320/cwf_320_sub_agent.py,subagents/cwf_320/cwf_320_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_330/cwf_330_sub_agent.py,subagents/cwf_330/cwf_330_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_340/cwf_340_sub_agent.py,subagents/cwf_340/cwf_340_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_410/cwf_410_sub_agent.py,subagents/cwf_410/cwf_410_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,sub_agents/cwf_420/cwf_420_sub_agent.py,subagents/cwf_420/cwf_420_sub_agent.py,false,true,REPAIRED_PATH,Confirmed folder mismatch: repo uses subagents/.,MAC-06.1P-A/P-B CHAIN-004,PASS
