file_path,classification,reason,allowlisted_runtime_file,keyword_candidate_reviewed
.agents/skills/shadow-content-orchestration/SKILL.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
.agents/skills/shadow-context-engineering/SKILL.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
.agents/skills/shadow-research-gate/SKILL.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
00_READ_ME_FIRST_FOR_MAC_MIGRATION.md,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
AGENTS.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
AGENT_ANTI_DRIFT_RULES.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
AGENT_OPERATING_GUIDE.md,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
AGENT_READ_ORDER.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
AGENT_REPO_FIRST_OPERATING_DOCTRINE.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
AGENT_STARTUP_PROMPT.md,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
COPY_MANIFEST.json,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
COPY_MANIFEST.md,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
Detailed_PRD_MASTERPIECE_v34_ZERO_LOSS_HARNESS_RESTRUCTURED.txt,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
MAC_BOOTSTRAP_START_REPORT.md,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
SHADOW_LIGHTWEIGHT_RUNTIME.md,NOT_APPLICABLE_WITH_REASON,keyword match outside selected script-route runtime scope,false,true
START_HERE_FOR_AGENTS.md,REFERENCE_ONLY,"central law, schema, startup, or route-binding reference consumed by active actors",false,true
agents/AGENT_RUNTIME_REGISTRY.yaml,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agastya/agastya_agent.py,ACTIVE_RUNTIME_ENFORCEMENT,selected script-route propagation allowlist,true,true
agents/agent_control_plane_001/agent_control_plane_001_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_control_plane_002/agent_control_plane_002_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_control_plane_003/agent_control_plane_003_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_control_plane_004/agent_control_plane_004_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_control_plane_005/agent_control_plane_005_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_evolution_001/agent_evolution_001_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_evolution_002/agent_evolution_002_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_evolution_003/agent_evolution_003_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_evolution_004/agent_evolution_004_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_evolution_005/agent_evolution_005_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_001/agent_governance_001_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_002/agent_governance_002_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_003/agent_governance_003_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_004/agent_governance_004_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_005/agent_governance_005_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_006/agent_governance_006_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_007/agent_governance_007_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_008/agent_governance_008_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_009/agent_governance_009_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_governance_010/agent_governance_010_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_kernel_001/agent_kernel_001_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
agents/agent_kernel_002/agent_kernel_002_agent.py,NOT_APPLICABLE_WITH_REASON,runtime actor is not selected by the script-generation propagation allowlist,false,true
